Note that CK in https://github.com/Jay19751103/composable_kernel

After fix causal issue
Tested following model Q4_K_M on gfx1201
Model	baseline	CK causal (correct)	Δ pp	CK used
gemma-4-26B-A4B Q4	4164	4492	+7.9%	200
Llama-3.2-3B Q4	8674	9305	+7.3%	224
gemma-4-E4B Q4	5323	5705	+7.2%	280
gemma-3n-E4B Q4	3760	3924	+4.4%	280
Qwen3.6-35B-A3B Q4	3870	3973	+2.7%	80
Qwen3.6-27B Q8_0	1267	1298	+2.5%	128
Llama-3.1-8B Q4	4174	4268	+2.2%	256
Qwen3.6-27B Q4	1255	1278	+1.8%	128
Qwen3-30B-A3B Q4	4349	4423	+1.7%	384
gpt-oss-20b Q4	6110	6191	+1.3%	192 (sinks!)
Decode (tg128) unchanged everywhere (~0%, memory-bound).
